SMILES,CB1
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5cc(Cl)ccc15,1
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccc(Cl)cc15,0
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(CCC5CCCCC5)c6ccccc6C4=O,1
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(CCN5CCOCC5)c6ccccc6C4=O,1
CCCCCN1C=C(C(=O)c2cccc3ccccc23)C(=O)c4ccccc14,0
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5cccc(Cl)c15,1
CCCCCN1C=C(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)C(=O)c5cc(Cl)ccc15,0
CCCCCN1C=C(CNC23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15,1
CCCCCN1C=C(CNCCc2ccccc2)C(=O)c3ccccc13,1
CCCCCN1C=C(CNCC2CCCc3ccccc23)C(=O)c4ccccc14,1
CCCCCN1C=C(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15,0
CCCCCN1C(=C(C(=O)NCCc2ccccc2)C(=O)c3ccccc13)C,1
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=S)c5ccccc15,1
CCCCCN1C(=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccccc15)C,1
Brc1ccc(CN2C=C(C(=O)c3cccc4ccccc34)C(=O)c5ccccc25)cc1,0
CCCCCN1C(=C(C(=O)NC(C)c2ccccc2)C(=O)c3ccccc13)C,1
O=C(C1=CN(CCc2ccccc2)c3ccccc3C1=O)c4cccc5ccccc45,1
CCCCCN1C(=C(C(=O)NC(C)c2ccc3ccccc3c2)C(=O)c4ccccc14)C,1
CCCCCN1C(=C(C(=O)NC(C)c2cccc3ccccc23)C(=O)c4ccccc14)C,1
CCCCCN1C=C(C(=O)c2ccc3ccccc3c2)C(=O)c4ccccc14,1
O=C(C1=CN(CCC2CCCCC2)c3ccccc3C1=O)c4cccc5ccccc45,1
O=C(C1=CN(CCN2CCOCC2)c3ccccc3C1=O)c4cccc5ccccc45,1
CCCCCN1C=C(C(=O)c2c3ccccc3cc4ccccc24)C(=O)c5ccccc15,0
CCCCCN1C=C(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)C(=O)c5ccc(Cl)cc15,0
CCCCCN1C=C(C(=O)c2ccccc2)C(=O)c3ccccc13,1
CCCCN1C=C(C(=O)c2ccc(OC)cc2)C(=O)c3ccccc13,1
CCCCCCN1C=C(C(=O)c2ccc(OC)cc2)C(=O)c3ccccc13,1
CCCCCN1C(=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15)c6ccccc6,1
CCCCCN1C=C(C(=O)c2ccc3COCc3c2)C(=O)c4ccccc14,1
CCCCCN1C=C(C(=O)c2ccc3cc(OC)ccc3c2)C(=O)c4ccccc14,0
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(Cc5ccc(F)cc5)c6ccccc6C4=O,0
CC12CC3CC(C)(C1)CC(C3)(C2)NC(=O)C4=CN(CCc5ccccc5)c6ccccc6C4=O,1
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)N(CC)CC,0
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCS(=O)(=O)CC4,1
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCOCC4,0
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCN(C)CC4,0
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)c4ccccc4,0
CCCCCn1c2ccccc2c3cc(ccc13)C(=O)CN4CCCCC4,1
CCCCCn1c2ccccc2c3cc(ccc13)C(=S)N4CCCCC4,0
CCCCCn1c2ccccc2c3cc(CN4CCCCC4)ccc13,1
CCCCCn1c2ccccc2c3cc(ncc13)C(=O)N4CCCCC4,0
CCCCCn1c2ccccc2c3cc(ncc13)C(=O)NCC(C)(C)C,1
CCCCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,0
CCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,0
ClCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,0
O=C(OCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4)N5CCS(=O)(=O)CC5,0
CS(=O)(=O)NCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,0
COCCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,0
O=C(N1CCCCC1)c2ccc3c(c2)c4ccccc4n3CC5CCOCC5,0
COC(=O)CCCn1c2ccccc2c3cc(ccc13)C(=O)N4CCCCC4,1
O=C(N1CCCCC1)c2ccc3c(c2)c4ccccc4n3Cc5ccncc5,0
C[C@@H]1NC(=O)[C@H](Cc2c([nH]c3c(CC=C(C)C)cc(CC=C(C)C)cc23)C(C)(C)C=C)NC1=O,1
CN\C(=N\S(=O)(=O)c1ccc(Cl)cc1)\C2CN(C(=N2)c3ccccc3)c4ccc(Cl)cc4,1
CCCCCC#Cc1cc(O)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,1
CCCCCCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
O=C1NC(=S)NC1(c2ccccc2)c3ccccc3,1
COc1ccc(cc1OC)C2=CC(=O)c3c(O)c(OC)c(O)cc3O2,1
O=C(NCC12CC3CC(CC(C3)C1)C2)c4nn(C5CCCCC5)c6CCCCCCc46,0
CN(C)c1cccc(n1)c2cccc(NC(=O)Nc3ccc(Cl)cc3)c2,1
Cc1cc([nH]n1)C(=O)N2CCc3c(C2)sc(NCc4ccccc4)c3C#N,1
O=C1N(C(=S)NC1(c2ccccc2)c3ccccc3)c4ccccc4,1
CCOC(=O)N1[C@@H]2CC[C@H]1C[C@H](CN3CC[C@H](C3)N4Cc5ccccc5NC4=O)C2,1
CCCCCCCCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCN1C(=S)NC(C1=O)(c2ccc(Br)cc2)c3ccc(Br)cc3,0
CCN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
CCCCCCCN1C(=S)NC(C1=O)(c2ccc(Cl)cc2)c3ccc(Cl)cc3,0
O=C(NC(c1ccccc1)c2ccccc2)Nc3ccccc3,1
O=C1N(Cc2ccccc2)C(=S)NC1(c3ccccc3)c4ccccc4,1
CC(C)CN1C(=S)NC(C1=O)(c2ccccc2)c3ccccc3,1
O=C1NC(C(=O)N1CCc2ccccc2)(c3ccccc3)c4ccccc4,1
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCc1ccc(OC)cc1,1
CCCCCN1C=C(C(=O)NCCCc2ccccc2)C(=O)c3ccccc13,1
